KOs	KO_count	KO_frequency
K00272	0	0.0000000000
K00273	0	0.0000000000
K00274	6	0.0143540670
K00275	36	0.0861244019
K00276	2	0.0047846890
K00277	0	0.0000000000
K00278	107	0.2559808612
K00279	0	0.0000000000
K00280	0	0.0000000000
K00281	0	0.0000000000
K00282	1	0.0023923445
K00283	1	0.0023923445
K00284	0	0.0000000000
K00285	117	0.2799043062
K00286	376	0.8995215311
K00287	11	0.0263157895
K00288	0	0.0000000000
K00289	0	0.0000000000
K00290	66	0.1578947368
K00293	0	0.0000000000
K00294	3	0.0071770335
K00295	0	0.0000000000
K00296	0	0.0000000000
K00297	163	0.3899521531
K00298	6	0.0143540670
K00299	0	0.0000000000
K00300	0	0.0000000000
K00301	0	0.0000000000
K00302	0	0.0000000000
K00303	0	0.0000000000
K00304	0	0.0000000000
K00305	0	0.0000000000
K00306	1	0.0023923445
K00307	0	0.0000000000
K00308	0	0.0000000000
K00309	0	0.0000000000
K00310	0	0.0000000000
K00311	0	0.0000000000
K00312	0	0.0000000000
K00313	9	0.0215311005
K00314	0	0.0000000000
K00315	0	0.0000000000
K00316	72	0.1722488038
K00317	0	0.0000000000
K00318	3	0.0071770335
K00319	0	0.0000000000
K00320	24	0.0574162679
K00322	0	0.0000000000
K00323	2	0.0047846890
K00324	0	0.0000000000
K00325	2	0.0047846890
K00326	0	0.0000000000
K00327	0	0.0000000000
K00330	370	0.8851674641
K00331	370	0.8851674641
K00332	321	0.7679425837
K00333	321	0.7679425837
K00334	29	0.0693779904
K00335	68	0.1626794258
K00336	372	0.8899521531
K00337	370	0.8851674641
K00338	370	0.8851674641
K00339	370	0.8851674641
K00340	370	0.8851674641
K00341	370	0.8851674641
K00342	370	0.8851674641
K00343	370	0.8851674641
K00344	20	0.0478468900
K00345	0	0.0000000000
K00346	0	0.0000000000
K00347	0	0.0000000000
K00348	0	0.0000000000
K00349	0	0.0000000000
K00350	0	0.0000000000
K00351	2	0.0047846890
K00354	90	0.2153110048
K00355	6	0.0143540670
K00357	0	0.0000000000
K00359	0	0.0000000000
K00360	1	0.0023923445
K00361	1	0.0023923445
K00362	9	0.0215311005
K00363	0	0.0000000000
K00364	39	0.0933014354
K00365	0	0.0000000000
K00366	34	0.0813397129
K00367	5	0.0119617225
K00368	2	0.0047846890
K00370	1	0.0023923445
K00371	1	0.0023923445
K00372	1	0.0023923445
K00373	2	0.0047846890
K00374	2	0.0047846890
K00375	25	0.0598086124
K00376	118	0.2822966507
K00378	3	0.0071770335
K00380	32	0.0765550239
K00381	0	0.0000000000
K00382	45	0.1076555024
K00383	0	0.0000000000
K00384	416	0.9952153110
K00385	2	0.0047846890
K00386	73	0.1746411483
K00387	0	0.0000000000
K00389	0	0.0000000000
K00390	51	0.1220095694
K00392	42	0.1004784689
K00394	0	0.0000000000
K00395	0	0.0000000000
K00399	0	0.0000000000
K00400	0	0.0000000000
K00401	0	0.0000000000
K00402	0	0.0000000000
K00404	29	0.0693779904
K00405	409	0.9784688995
K00406	414	0.9904306220
K00407	212	0.5071770335
K00408	0	0.0000000000
K00410	0	0.0000000000
K00411	393	0.9401913876
K00412	408	0.9760765550
K00413	395	0.9449760766
K00414	7	0.0167464115
K00415	0	0.0000000000
K00416	0	0.0000000000
