KOs	KO_count	KO_frequency
K00270	0	0.0000000000
K00271	2	0.0012360939
K00272	1	0.0006180470
K00273	53	0.0327564895
K00274	397	0.2453646477
K00275	1259	0.7781211372
K00276	10	0.0061804697
K00277	2	0.0012360939
K00278	1167	0.7212608158
K00279	3	0.0018541409
K00280	3	0.0018541409
K00281	1380	0.8529048208
K00282	137	0.0846724351
K00283	137	0.0846724351
K00284	4	0.0024721879
K00285	505	0.3121137206
K00286	1336	0.8257107540
K00287	1608	0.9938195303
K00288	1	0.0006180470
K00289	6	0.0037082818
K00290	279	0.1724351051
K00293	0	0.0000000000
K00294	1153	0.7126081582
K00295	0	0.0000000000
K00296	0	0.0000000000
K00297	1456	0.8998763906
K00298	20	0.0123609394
K00299	17	0.0105067985
K00300	0	0.0000000000
K00301	116	0.0716934487
K00302	137	0.0846724351
K00303	1	0.0006180470
K00304	1	0.0006180470
K00305	1	0.0006180470
K00306	2	0.0012360939
K00307	3	0.0018541409
K00308	0	0.0000000000
K00309	0	0.0000000000
K00310	4	0.0024721879
K00311	8	0.0049443758
K00312	0	0.0000000000
K00313	15	0.0092707046
K00314	0	0.0000000000
K00315	23	0.0142150803
K00316	51	0.0315203956
K00317	0	0.0000000000
K00318	1084	0.6699629172
K00319	0	0.0000000000
K00320	90	0.0556242274
K00322	16	0.0098887515
K00323	174	0.1075401731
K00324	200	0.1236093943
K00325	207	0.1279357231
K00326	6	0.0037082818
K00327	1	0.0006180470
K00330	1186	0.7330037083
K00331	1188	0.7342398022
K00332	780	0.4820766378
K00333	780	0.4820766378
K00334	211	0.1304079110
K00335	778	0.4808405439
K00336	1241	0.7669962917
K00337	1193	0.7373300371
K00338	1177	0.7274412855
K00339	1146	0.7082818294
K00340	915	0.5655129790
K00341	1234	0.7626699629
K00342	1193	0.7373300371
K00343	1192	0.7367119901
K00344	799	0.4938195303
K00345	0	0.0000000000
K00346	860	0.5315203956
K00347	860	0.5315203956
K00348	858	0.5302843016
K00349	855	0.5284301607
K00350	859	0.5309023486
K00351	865	0.5346106304
K00354	380	0.2348578492
K00355	587	0.3627935723
K00357	1	0.0006180470
K00359	296	0.1829419036
K00360	0	0.0000000000
K00361	0	0.0000000000
K00362	363	0.2243510507
K00363	363	0.2243510507
K00364	307	0.1897404203
K00365	26	0.0160692213
K00366	12	0.0074165637
K00367	352	0.2175525340
K00368	326	0.2014833127
K00370	11	0.0067985167
K00371	11	0.0067985167
K00372	140	0.0865265760
K00373	11	0.0067985167
K00374	14	0.0086526576
K00375	613	0.3788627936
K00376	348	0.2150803461
K00378	7	0.0043263288
K00380	736	0.4548825711
K00381	203	0.1254635352
K00382	1543	0.9536464771
K00383	131	0.0809641533
K00384	1610	0.9950556242
K00385	63	0.0389369592
