KOs	KO_count	KO_frequency
K00272	0	0.0000000000
K00273	0	0.0000000000
K00274	141	0.5402298851
K00275	151	0.5785440613
K00276	0	0.0000000000
K00277	0	0.0000000000
K00278	155	0.5938697318
K00279	0	0.0000000000
K00280	0	0.0000000000
K00281	142	0.5440613027
K00282	25	0.0957854406
K00283	25	0.0957854406
K00284	1	0.0038314176
K00285	0	0.0000000000
K00286	193	0.7394636015
K00287	23	0.0881226054
K00288	0	0.0000000000
K00289	0	0.0000000000
K00290	0	0.0000000000
K00293	0	0.0000000000
K00294	0	0.0000000000
K00295	0	0.0000000000
K00296	0	0.0000000000
K00297	165	0.6321839080
K00298	0	0.0000000000
K00299	0	0.0000000000
K00300	0	0.0000000000
K00301	1	0.0038314176
K00302	0	0.0000000000
K00303	1	0.0038314176
K00304	0	0.0000000000
K00305	0	0.0000000000
K00306	0	0.0000000000
K00307	0	0.0000000000
K00308	0	0.0000000000
K00309	0	0.0000000000
K00310	49	0.1877394636
K00311	0	0.0000000000
K00312	0	0.0000000000
K00313	4	0.0153256705
K00314	0	0.0000000000
K00315	0	0.0000000000
K00316	0	0.0000000000
K00317	0	0.0000000000
K00318	4	0.0153256705
K00319	0	0.0000000000
K00320	6	0.0229885057
K00322	49	0.1877394636
K00323	152	0.5823754789
K00324	158	0.6053639847
K00325	158	0.6053639847
K00326	1	0.0038314176
K00327	0	0.0000000000
K00330	143	0.5478927203
K00331	143	0.5478927203
K00332	143	0.5478927203
K00333	143	0.5478927203
K00334	25	0.0957854406
K00335	162	0.6206896552
K00336	191	0.7318007663
K00337	143	0.5478927203
K00338	143	0.5478927203
K00339	143	0.5478927203
K00340	142	0.5440613027
K00341	143	0.5478927203
K00342	143	0.5478927203
K00343	143	0.5478927203
K00344	166	0.6360153257
K00345	0	0.0000000000
K00346	0	0.0000000000
K00347	14	0.0536398467
K00348	13	0.0498084291
K00349	14	0.0536398467
K00350	14	0.0536398467
K00351	17	0.0651340996
K00354	26	0.0996168582
K00355	68	0.2605363985
K00357	0	0.0000000000
K00359	2	0.0076628352
K00360	0	0.0000000000
K00361	0	0.0000000000
K00362	74	0.2835249042
K00363	71	0.2720306513
K00364	1	0.0038314176
K00365	0	0.0000000000
K00366	0	0.0000000000
K00367	71	0.2720306513
K00368	142	0.5440613027
K00370	0	0.0000000000
K00371	0	0.0000000000
K00372	0	0.0000000000
K00373	0	0.0000000000
K00374	1	0.0038314176
K00375	14	0.0536398467
K00376	70	0.2681992337
K00378	0	0.0000000000
K00380	53	0.2030651341
K00381	144	0.5517241379
K00382	170	0.6513409962
K00383	0	0.0000000000
K00384	258	0.9885057471
K00385	8	0.0306513410
K00386	0	0.0000000000
K00387	0	0.0000000000
K00389	2	0.0076628352
K00390	156	0.5977011494
K00392	2	0.0076628352
K00394	0	0.0000000000
K00395	4	0.0153256705
K00399	0	0.0000000000
K00400	0	0.0000000000
K00401	0	0.0000000000
K00402	0	0.0000000000
K00404	27	0.1034482759
K00405	124	0.4750957854
K00406	143	0.5478927203
K00407	6	0.0229885057
K00408	0	0.0000000000
K00410	0	0.0000000000
K00411	0	0.0000000000
K00412	0	0.0000000000
K00413	0	0.0000000000
K00414	0	0.0000000000
K00415	0	0.0000000000
K00416	0	0.0000000000
