KOs	KO_count	KO_frequency
K00260	2213	0.2540757750
K00261	570	0.0654420207
K00262	4105	0.4712973594
K00263	2644	0.3035591274
K00264	652	0.0748564868
K00265	7836	0.8996555683
K00266	7627	0.8756601607
K00270	31	0.0035591274
K00271	9	0.0010332951
K00272	4	0.0004592423
K00273	404	0.0463834673
K00274	3668	0.4211251435
K00275	8325	0.9557979334
K00276	944	0.1083811711
K00277	6	0.0006888634
K00278	6992	0.8027554535
K00279	178	0.0204362801
K00280	2	0.0002296211
K00281	6831	0.7842709529
K00282	997	0.1144661309
K00283	993	0.1140068886
K00284	10	0.0011481056
K00285	6603	0.7580941447
K00286	8620	0.9896670494
K00287	8019	0.9206659013
K00288	13	0.0014925373
K00289	35	0.0040183697
K00290	359	0.0412169920
K00293	98	0.0112514351
K00294	121	0.0138920781
K00295	1	0.0001148106
K00296	15	0.0017221584
K00297	8286	0.9513203215
K00298	76	0.0087256028
K00299	4343	0.4986222732
K00300	127	0.0145809414
K00301	1854	0.2128587830
K00302	3332	0.3825487945
K00303	3060	0.3513203215
K00304	3039	0.3489092997
K00305	3038	0.3487944891
K00306	36	0.0041331803
K00307	9	0.0010332951
K00308	1	0.0001148106
K00309	540	0.0619977038
K00310	2333	0.2678530425
K00311	6748	0.7747416762
K00312	0	0.0000000000
K00313	991	0.1137772675
K00314	45	0.0051664753
K00315	1005	0.1153846154
K00316	768	0.0881745121
K00317	448	0.0514351320
K00318	315	0.0361653272
K00319	0	0.0000000000
K00320	2790	0.3203214696
K00322	4417	0.5071182549
K00323	3838	0.4406429392
K00324	4782	0.5490241102
K00325	7869	0.9034443169
K00326	13	0.0014925373
K00327	2	0.0002296211
K00330	7132	0.8188289323
K00331	3444	0.3954075775
K00332	2105	0.2416762342
K00333	2332	0.2677382319
K00334	6997	0.8033295063
K00335	6628	0.7609644087
K00336	5605	0.6435132032
K00337	7473	0.8579793341
K00338	3323	0.3815154994
K00339	7440	0.8541905855
K00340	7443	0.8545350172
K00341	7481	0.8588978186
K00342	7491	0.8600459242
K00343	7454	0.8557979334
K00344	8040	0.9230769231
K00345	0	0.0000000000
K00346	2710	0.3111366246
K00347	2709	0.3110218140
K00348	2768	0.3177956372
K00349	2710	0.3111366246
K00350	2710	0.3111366246
K00351	2820	0.3237657865
K00354	966	0.1109070034
K00355	4811	0.5523536165
K00357	0	0.0000000000
K00359	1913	0.2196326062
K00360	41	0.0047072331
K00361	793	0.0910447761
K00362	3684	0.4229621125
K00363	3413	0.3918484501
K00364	2074	0.2381171068
K00365	127	0.0145809414
K00366	345	0.0396096441
