KOs	KO_count	KO_frequency
K00259	5125	0.4517408550
K00260	2765	0.2437197003
K00261	1329	0.1171441164
K00262	5841	0.5148523579
K00263	3325	0.2930806523
K00264	1457	0.1284266197
K00265	9361	0.8251211988
K00266	8564	0.7548699868
K00270	31	0.0027324813
K00271	11	0.0009695901
K00272	5	0.0004407228
K00273	482	0.0424856765
K00274	4303	0.3792860291
K00275	9892	0.8719259586
K00276	968	0.0853239312
K00277	11	0.0009695901
K00278	8704	0.7672102248
K00279	194	0.0171000441
K00280	20	0.0017628911
K00281	8432	0.7432349052
K00282	1333	0.1174966946
K00283	1329	0.1171441164
K00284	61	0.0053768180
K00285	7267	0.6405464963
K00286	10801	0.9520493610
K00287	9794	0.8632877920
K00288	17	0.0014984575
K00289	45	0.0039665051
K00290	707	0.0623182019
K00293	98	0.0086381666
K00294	1318	0.1161745262
K00295	3	0.0002644337
K00296	15	0.0013221684
K00297	10283	0.9063904804
K00298	102	0.0089907448
K00299	4376	0.3857205818
K00300	152	0.0133979727
K00301	2005	0.1767298369
K00302	3521	0.3103569855
K00303	3085	0.2719259586
K00304	3043	0.2682238872
K00305	3040	0.2679594535
K00306	40	0.0035257823
K00307	17	0.0014984575
K00308	1	0.0000881446
K00309	542	0.0477743499
K00310	2391	0.2107536360
K00311	6781	0.5977082415
K00312	0	0.0000000000
K00313	1031	0.0908770383
K00314	45	0.0039665051
K00315	1031	0.0908770383
K00316	895	0.0788893786
K00317	448	0.0394887616
K00318	1465	0.1291317761
K00319	0	0.0000000000
K00320	2941	0.2592331424
K00322	4558	0.4017628911
K00323	4188	0.3691494050
K00324	5180	0.4565888056
K00325	8280	0.7298369326
K00326	22	0.0019391803
K00327	11	0.0009695901
K00330	9059	0.7985015425
K00331	5373	0.4736007052
K00332	3576	0.3152049361
K00333	3778	0.3330101366
K00334	7412	0.6533274570
K00335	7808	0.6882327016
K00336	7685	0.6773909211
K00337	9408	0.8292639929
K00338	5260	0.4636403702
K00339	9296	0.8193918026
K00340	9094	0.8015866020
K00341	9438	0.8319083297
K00342	9438	0.8319083297
K00343	9389	0.8275892464
K00344	9179	0.8090788894
K00345	0	0.0000000000
K00346	3658	0.3224327898
K00347	3672	0.3236668136
K00348	3732	0.3289554870
K00349	3672	0.3236668136
K00350	3674	0.3238431027
K00351	3872	0.3412957250
K00354	1517	0.1337152931
K00355	5526	0.4870868224
K00357	1	0.0000881446
K00359	2225	0.1961216395
K00360	44	0.0038783605
K00361	794	0.0699867783
K00362	4208	0.3709122962
K00363	3857	0.3399735566
K00364	2443	0.2153371529
K00365	176	0.0155134420
K00366	456	0.0401939180
K00367	896	0.0789775231
K00368	2194	0.1933891582
K00370	2809	0.2475980608
K00371	2796	0.2464521816
K00372	5165	0.4552666373
K00373	1742	0.1535478184
K00374	2920	0.2573821067
K00375	7752	0.6832966064
K00376	1823	0.1606875275
K00378	226	0.0199206699
K00380	6733	0.5934773028
K00381	8133	0.7168796827
K00382	10767	0.9490524460
K00383	7650	0.6743058616
K00384	6007	0.5294843543
K00385	404	0.0356104011
K00386	1408	0.1241075364
K00387	891	0.0785368004
K00389	2105	0.1855442926
K00390	8126	0.7162626708
K00392	795	0.0700749229
K00394	932	0.0821507272
K00395	1263	0.1113265756
K00399	0	0.0000000000
K00400	3	0.0002644337
K00401	0	0.0000000000
K00402	0	0.0000000000
K00404	5132	0.4523578669
K00405	5655	0.4984574703
K00406	7892	0.6956368444
K00407	5303	0.4674305862
K00408	0	0.0000000000
K00410	2326	0.2050242398
K00411	7114	0.6270603790
K00412	4887	0.4307624504
K00413	6830	0.6020273248
K00414	15	0.0013221684
K00415	2	0.0001762891
K00416	5	0.0004407228
K00417	0	0.0000000000
K00418	0	0.0000000000
K00419	0	0.0000000000
K00420	0	0.0000000000
K00421	35	0.0030850595
K00422	225	0.0198325253
K00423	1023	0.0901718819
K00424	4556	0.4015866020
K00425	9520	0.8391361833
K00426	9469	0.8346408109
K00427	1937	0.1707360071
K00428	7634	0.6728955487
K00430	1	0.0000881446
K00431	1	0.0000881446
K00432	7986	0.7039224328
K00433	7513	0.6622300573
K00434	84	0.0074041428
K00435	66	0.0058175408
K00436	178	0.0156897312
K00437	157	0.0138386955
K00440	8	0.0007051565
K00441	755	0.0665491406
K00442	16	0.0014103129
K00443	22	0.0019391803
K00444	1	0.0000881446
K00445	0	0.0000000000
K00446	1785	0.1573380344
K00448	3578	0.3153812252
K00449	4666	0.4112825033
K00450	2066	0.1821066549
K00451	5687	0.5012780961
K00452	1734	0.1528426620
K00453	3742	0.3298369326
K00454	0	0.0000000000
K00455	1789	0.1576906126
K00456	193	0.0170118995
K00457	6218	0.5480828559
K00458	0	0.0000000000
K00459	7510	0.6619656236
K00460	0	0.0000000000
K00461	49	0.0043190833
K00462	66	0.0058175408
K00463	31	0.0027324813
K00464	924	0.0814455707
K00465	36	0.0031732041
K00466	466	0.0410753636
K00467	193	0.0170118995
K00468	1022	0.0900837373
K00469	305	0.0268840899
K00471	1874	0.1651829000
K00472	1543	0.1360070516
K00473	0	0.0000000000
K00474	44	0.0038783605
K00475	0	0.0000000000
K00476	192	0.0169237550
K00477	4716	0.4156897312
K00478	0	0.0000000000
K00479	2089	0.1841339797
K00480	761	0.0670780079
K00481	3754	0.3308946673
K00483	438	0.0386073160
K00484	1422	0.1253415602
K00485	1245	0.1097399736
K00486	1103	0.0972234465
K00487	0	0.0000000000
K00488	0	0.0000000000
K00489	3	0.0002644337
K00490	0	0.0000000000
