KOs	KO_count	KO_frequency
K00258	9	0.0004205411
K00259	11355	0.5305826831
K00260	5244	0.2450352787
K00261	2249	0.1050885473
K00262	11738	0.5484790430
K00263	5164	0.2412971356
K00264	4137	0.1933087239
K00265	15869	0.7415074062
K00266	13950	0.6518386991
K00270	271	0.0126629597
K00271	1075	0.0502312976
K00272	5	0.0002336339
K00273	1380	0.0644829681
K00274	6563	0.3066679127
K00275	14215	0.6642212981
K00276	2221	0.1037801972
K00277	180	0.0084108219
K00278	14454	0.6753890005
K00279	759	0.0354656324
K00280	67	0.0031306948
K00281	11977	0.5596467455
K00282	3775	0.1763936265
K00283	3769	0.1761132657
K00284	267	0.0124760525
K00285	8685	0.4058221578
K00286	20257	0.9465445540
K00287	17630	0.8237932807
K00288	36	0.0016821644
K00289	53	0.0024765198
K00290	907	0.0423811971
K00293	185	0.0086444559
K00294	3810	0.1780290641
K00295	27	0.0012616233
K00296	22	0.0010279893
K00297	15844	0.7403392365
K00298	838	0.0391570487
K00299	7776	0.3633475071
K00300	175	0.0081771880
K00301	4254	0.1987757581
K00302	4752	0.2220456988
K00303	3851	0.1799448624
K00304	3655	0.1707864118
K00305	3706	0.1731694781
K00306	85	0.0039717770
K00307	113	0.0052801271
K00308	3	0.0001401804
K00309	1351	0.0631278912
K00310	2571	0.1201345732
K00311	7116	0.3325078267
K00312	0	0.0000000000
K00313	1631	0.0762113920
K00314	48	0.0022428858
K00315	1362	0.0636418859
K00316	977	0.0456520723
K00317	622	0.0290640624
K00318	4807	0.2246156722
K00319	0	0.0000000000
K00320	6404	0.2992383533
K00322	5639	0.2634923602
K00323	5498	0.2569038830
K00324	6840	0.3196112331
K00325	10912	0.5098827158
K00326	38	0.0017756180
K00327	27	0.0012616233
K00330	12421	0.5803934396
K00331	8531	0.3986262324
K00332	6594	0.3081164432
K00333	6818	0.3185832438
K00334	10081	0.4710527545
K00335	10723	0.5010513527
K00336	12368	0.5779169198
K00337	12869	0.6013270408
K00338	8383	0.3917106677
K00339	12619	0.5896453437
K00340	12415	0.5801130788
K00341	13047	0.6096444091
K00342	12870	0.6013737676
K00343	12820	0.5990374282
K00344	15645	0.7310406056
K00345	168	0.0078501005
K00346	3927	0.1834960983
K00347	3995	0.1866735199
K00348	4061	0.1897574880
K00349	3994	0.1866267931
K00350	3996	0.1867202467
K00351	4990	0.2331666745
K00354	3503	0.1636839400
K00355	8823	0.4122704547
K00357	1	0.0000467268
K00359	4672	0.2183075557
K00360	1143	0.0534087192
K00361	847	0.0395775898
K00362	6865	0.3207794028
K00363	6157	0.2876968366
K00364	5469	0.2555488061
K00365	1660	0.0775664689
K00366	1527	0.0713518060
K00367	2269	0.1060230830
K00368	3293	0.1538713144
K00370	5278	0.2466239895
K00371	5246	0.2451287323
K00372	7318	0.3419466380
K00373	4170	0.1948507079
K00374	5597	0.2615298351
K00375	15032	0.7023970842
K00376	2028	0.0947619270
K00378	242	0.0113078828
K00380	8652	0.4042801738
K00381	9353	0.4370356525
K00382	19055	0.8903789543
K00383	10435	0.4875940377
K00384	15734	0.7351992898
K00385	1717	0.0802298958
K00386	1519	0.0709779917
K00387	2065	0.0964908182
K00389	4618	0.2157843091
K00390	13020	0.6083827859
K00392	3690	0.1724218494
K00394	1464	0.0684080183
K00395	2229	0.1041540115
K00399	0	0.0000000000
K00400	6	0.0002803607
K00401	0	0.0000000000
K00402	0	0.0000000000
K00404	5589	0.2611560207
K00405	5974	0.2791458343
K00406	8382	0.3916639409
K00407	5566	0.2600813046
K00408	0	0.0000000000
K00410	2512	0.1173776926
K00411	7485	0.3497500117
K00412	5118	0.2391477034
K00413	7184	0.3356852484
K00414	48	0.0022428858
K00415	7	0.0003270875
K00416	5	0.0002336339
K00417	0	0.0000000000
K00418	0	0.0000000000
K00419	0	0.0000000000
K00420	0	0.0000000000
K00421	146	0.0068221111
K00422	295	0.0137844026
K00423	1290	0.0602775571
K00424	4776	0.2231671417
K00425	15524	0.7253866642
K00426	15468	0.7227699640
K00427	2882	0.1346666044
K00428	8236	0.3848418298
K00430	6	0.0002803607
K00431	2	0.0000934536
K00432	14132	0.6603429746
K00433	12731	0.5948787440
K00434	85	0.0039717770
K00435	3357	0.1568618289
K00436	347	0.0162141956
K00437	245	0.0114480632
K00440	23	0.0010747161
K00441	1817	0.0849025746
K00442	27	0.0012616233
K00443	130	0.0060744825
K00444	20	0.0009345358
K00445	0	0.0000000000
K00446	3376	0.1577496379
K00448	5060	0.2364375496
K00449	6734	0.3146581935
K00450	3044	0.1422363441
K00451	7981	0.3729264988
K00452	2309	0.1078921546
K00453	5949	0.2779776646
K00454	1	0.0000467268
K00455	2192	0.1024251203
K00456	1979	0.0924723144
K00457	8086	0.3778328116
K00458	0	0.0000000000
K00459	13097	0.6119807486
K00460	0	0.0000000000
K00461	64	0.0029905145
K00462	193	0.0090182702
K00463	84	0.0039250502
K00464	1964	0.0917714126
K00465	78	0.0036446895
K00466	504	0.0235503014
K00467	2011	0.0939675716
K00468	1889	0.0882669034
K00469	328	0.0153263866
K00471	2298	0.1073781599
K00472	2027	0.0947152002
K00473	7	0.0003270875
K00474	67	0.0031306948
K00475	0	0.0000000000
K00476	294	0.0137376758
K00477	6552	0.3061539180
K00478	0	0.0000000000
K00479	2668	0.1246670716
K00480	1377	0.0643427877
K00481	5124	0.2394280641
K00483	1356	0.0633615252
K00484	1577	0.0736881454
K00485	2593	0.1211625625
K00486	1436	0.0670996682
K00487	0	0.0000000000
K00488	1	0.0000467268
K00489	3	0.0001401804
K00490	0	0.0000000000
K00491	1735	0.0810709780
K00492	10	0.0004672679
K00493	0	0.0000000000
K00494	829	0.0387365076
K00495	0	0.0000000000
K00496	3094	0.1445726835
K00497	1	0.0000467268
K00498	1	0.0000467268
K00499	3991	0.1864866128
K00500	5326	0.2488668754
K00501	2	0.0000934536
K00502	0	0.0000000000
K00503	74	0.0034577823
K00504	11	0.0005139947
K00505	1082	0.0505583851
K00506	0	0.0000000000
K00507	2810	0.1313022756
K00508	1360	0.0635484323
K00509	24	0.0011214429
K00510	34	0.0015887108
K00511	49	0.0022896126
K00512	3	0.0001401804
K00513	0	0.0000000000
K00514	350	0.0163543760
K00515	39	0.0018223448
K00516	155	0.0072426522
K00517	1	0.0000467268
K00518	1239	0.0578944909
K00520	4797	0.2241484043
K00521	1070	0.0499976637
K00522	22	0.0010279893
K00523	6328	0.2956871174
K00524	153	0.0071491986
K00525	16202	0.7570674268
K00526	16835	0.7866454839
K00527	450	0.0210270548
K00528	9603	0.4487173497
K00529	6634	0.3099855147
K00530	2	0.0000934536
K00531	121	0.0056539414
K00532	255	0.0119153311
K00533	417	0.0194850708
K00534	159	0.0074295594
K00537	17275	0.8072052708
K00540	2198	0.1027054811
K00541	31	0.0014485304
K00542	73	0.0034110556
K00543	25	0.0011681697
K00544	181	0.0084575487
K00545	1761	0.0822858745
K00546	92	0.0042988645
K00547	5648	0.2639129013
K00548	15047	0.7030979861
