KOs	KO_count	KO_frequency
K00264	2093	0.4235127479
K00265	2557	0.5174018616
K00266	1550	0.3136382032
K00270	222	0.0449210846
K00271	0	0.0000000000
K00272	0	0.0000000000
K00273	1	0.0002023472
K00274	296	0.0598947794
K00275	985	0.1993120194
K00276	63	0.0127478754
K00277	0	0.0000000000
K00278	2041	0.4129906920
K00279	7	0.0014164306
K00280	0	0.0000000000
K00281	6	0.0012140834
K00282	2022	0.4091460947
K00283	2023	0.4093484419
K00284	7	0.0014164306
K00285	86	0.0174018616
K00286	4662	0.9433427762
K00287	4234	0.8567381627
K00288	3	0.0006070417
K00289	1	0.0002023472
K00290	11	0.0022258195
K00293	0	0.0000000000
K00294	680	0.1375961149
K00295	0	0.0000000000
K00296	0	0.0000000000
K00297	1966	0.3978146499
K00298	167	0.0337919870
K00299	741	0.1499392958
K00300	6	0.0012140834
K00301	407	0.0823553217
K00302	311	0.0629299879
K00303	56	0.0113314448
K00304	1	0.0002023472
K00305	1	0.0002023472
K00306	2	0.0004046945
K00307	36	0.0072845002
K00308	0	0.0000000000
K00309	21	0.0042492918
K00310	1	0.0002023472
K00311	6	0.0012140834
K00312	0	0.0000000000
K00313	303	0.0613112100
K00314	0	0.0000000000
K00315	6	0.0012140834
K00316	5	0.0010117361
K00317	4	0.0008093889
K00318	1378	0.2788344800
K00319	0	0.0000000000
K00320	640	0.1295022258
K00322	2	0.0004046945
K00323	27	0.0054633752
K00324	80	0.0161877782
K00325	86	0.0174018616
K00326	2	0.0004046945
K00327	15	0.0030352084
K00330	539	0.1090651558
K00331	549	0.1110886281
K00332	549	0.1110886281
K00333	545	0.1102792392
K00334	69	0.0139619587
K00335	143	0.0289356536
K00336	1401	0.2834884662
K00337	550	0.1112909753
K00338	634	0.1282881425
K00339	492	0.0995548361
K00340	518	0.1048158640
K00341	544	0.1100768919
K00342	543	0.1098745447
K00343	546	0.1104815864
K00344	2623	0.5307567786
K00345	0	0.0000000000
K00346	2	0.0004046945
K00347	34	0.0068798057
K00348	39	0.0078915419
K00349	33	0.0066774585
K00350	33	0.0066774585
K00351	636	0.1286928369
K00354	1378	0.2788344800
K00355	1799	0.3640226629
K00357	0	0.0000000000
K00359	773	0.1564144071
K00360	17	0.0034399029
K00361	2	0.0004046945
K00362	228	0.0461351679
K00363	2	0.0004046945
K00364	2750	0.5564548766
K00365	0	0.0000000000
K00366	729	0.1475111291
K00367	178	0.0360178066
K00368	193	0.0390530150
K00370	900	0.1821125051
K00371	894	0.1808984217
K00372	442	0.0894374747
K00373	896	0.1813031161
K00374	1063	0.2150951032
K00375	3569	0.7221772562
K00376	95	0.0192229866
K00378	5	0.0010117361
K00380	837	0.1693646297
K00381	811	0.1641036018
K00382	3785	0.7658842574
K00383	2146	0.4342371510
K00384	4886	0.9886685552
K00385	944	0.1910157831
K00386	20	0.0040469446
K00387	14	0.0028328612
K00389	301	0.0609065156
K00390	1630	0.3298259814
K00392	150	0.0303520842
K00394	281	0.0568595710
K00395	307	0.0621205989
K00399	0	0.0000000000
K00400	2	0.0004046945
K00401	0	0.0000000000
K00402	0	0.0000000000
K00404	163	0.0329825981
K00405	19	0.0038445973
K00406	28	0.0056657224
K00407	5	0.0010117361
K00408	0	0.0000000000
K00410	4	0.0008093889
K00411	2	0.0004046945
K00412	12	0.0024281667
K00413	2	0.0004046945
K00414	6	0.0012140834
K00415	1	0.0002023472
K00416	0	0.0000000000
K00417	0	0.0000000000
K00418	0	0.0000000000
K00419	0	0.0000000000
K00420	0	0.0000000000
K00421	4	0.0008093889
K00422	0	0.0000000000
K00423	19	0.0038445973
K00424	1	0.0002023472
K00425	2241	0.4534601376
K00426	2264	0.4581141238
K00427	745	0.1507486847
